Miejsce	Ranking	Imię i nazwisko	Data	Państwo
1	2882	Magnus Carlsen	2014.05.01	 Norwegia
2	2851	Garri Kasparow	1999.07.01	 Rosja
3	2844	Fabiano Caruana	2014.10.01	 Stany Zjednoczone
4	2830	Lewon Aronian	2014.03.01	 Armenia
5	2822	Wesley So	2017.02.01	 Stany Zjednoczone
6	2817	Viswanathan Anand	2011.03.01	 Indie
7	2813	Weselin Topałow	2006.07.01	 Bułgaria
8	2811	Władimir Kramnik	2013.05.01	 Rosja
9	2810	Aleksandr Griszczuk	2014.12.01	 Rosja
10	2804	Alireza Firuzdża	2021.12.01	 Francja
11	2798	Hikaru Nakamura	2015.03.01	 Stany Zjednoczone
11	2798	Anisz Giri	2015.10.01	 Holandia
12	2793	Tejmur Radżabow	2012.11.01	 Azerbejdżan
13	2788	Aleksandr Moroziewicz	2008.07.01	 Rosja
14	2788	Siergiej Kariakin	2011.07.01	 Rosja
15	2787	Wasyl Iwanczuk	2007.10.01	 Ukraina
16	2785	Bobby Fischer	1972.07.01	 Stany Zjednoczone
17	2780	Anatolij Karpow	1994.07.01	 Rosja
18	2777	Boris Gelfand	2013.11.01	 Izrael
19	2775	Szachrijar Mammedjarow	2013.08.01	 Azerbejdżan
20	2775	Maxime Vachier-Lagrave	2015.02.01	 Francja
21	2769	Piotr Swidler	2013.05.01	 Rosja
22	2768	Leinier Domínguez Pérez	2014.05.01	 Kuba
23	2764	Rusłan Ponomariow	2011.07.01	 Ukraina
24	2763	Peter Leko	2005.04.01	 Węgry
25	2763	Gata Kamski	2013.07.01	 Stany Zjednoczone
26	2761	Pawło Eljanow	2010.09.01	 Ukraina
27	2761	Wugar Gaszimow	2012.01.01	 Azerbejdżan
28	2761	Michael Adams	2013.09.01	 Anglia
29	2760	Dmitrij Jakowienko	2009.01.01	 Rosja
30	2756	Wang Yue	2010.11.01	 Chiny
31	2755	Aleksiej Szyrow	2008.01.01	 Hiszpania
32	2755	Ding Liren	2015.02.01	 Chiny
33	2752	Wang Hao	2013.01.01	 Chiny
34	2751	Siergiej Mowsesjan	2009.01.01	 Słowacja
35	2749	Étienne Bacrot	2013.11.01	 Francja
